Shoe,"D874,103",,"Matsuo; Edson (Porto Alegre, BR)",Grendene S/A,"Current U.S. Class: D2/944; D2/900; D2/908 Current International Class: 0202 Field of Search: ;D2/906-908,943-947,950,962,969,972-974,976-978",Grendene S/A,BR,No other references field
Method and system for density correction for geophysical well logging inside drilling rods,"9,778,393",G01V 5/12 (20130101); G01V 5/045 (20130101); G01V 5/125 (20130101),"G01V 5/12 (20060101); G01V 5/04 (20060101)Pereira; Wanderson Roberto (Belo Horizonte, BR), Carlos; Dionisio Uendro (Belo Horizonte, BR), Braga; Marco Antonio da Silva (Belo Horizonte, BR)",VALE S.A.,"A method and system for estimating density of material surrounding a borehole in mineral exploration, the method including inserting a tool into a drilling rod located within a borehole, the tool having a gamma radiation source and at least one sensor; raising the tool within the drilling rod; receiving gamma count readings at the at least one sensor; sending the gamma count readings to a computing device; and removing effects of the drilling rod from the gamma count readings at the computing device to calculate a density of material surrounding the borehole.",Vale S.A.,BR,"Ellis et al., ""Gamma Ray Scattering and Absorption Measurements,"" Well Logging for Earth Scientists, 2nd ed., Chapter 12, 2007, pp. 289-324, Springer Science+Business Media B.V., Dordrecht, The Netherlands. cited by applicant."

Pneumococcal serotypes,"9,778,266",A61K 31/715 (20130101); A61K 39/092 (20130101); C07K 16/1275 (20130101); G01N 33/6854 (20130101); C12Q 1/14 (20130101); C12R 1/46 (20130101); G01N 33/56944 (20130101); C08B 37/006 (20130101); C07K 2317/21 (20130101); C07K 2317/24 (20130101); G01N 2333/315 (20130101),"A61K 39/09 (20060101); G01N 33/569 (20060101); C08B 37/00 (20060101); C12Q 1/14 (20060101); A61K 31/715 (20060101); G01N 33/68 (20060101); C07K 16/12 (20060101)Nahm; Moon H. (Birmingham, AL), Lin; Jisheng (Vestavia Hills, AL), Brandao; Angela P. (Sao Paulo, BR), Brandileone; Maria Cristina (Sao Paulo, BR)",The UAB Foundation Fundacao Oswaldo Cruz Instituto Adolfo Lutz,"Disclosed is a new and emerging serotype of Streptococcus pneumoniae designated serotype 6C, and assays and monoclonal antibodies useful in identifying same. Also disclosed is a novel pneumococcal polysaccharide with the repeating unit {2) glucose 1 (1.fwdarw.3) glucose 2 (1.fwdarw.3) rhamnose (1.fwdarw.3) ribitol (5.fwdarw.phosphate}. This new serotype may be included in pneumococcal vaccines.",The UAB Research Foundation,US BR BR,No other references field

Leak detection device in joints between pipes with flanges and gaskets,"9,778,134",G01M 3/2853 (20130101); G01M 3/40 (20130101); G01M 3/38 (20130101),"G01M 3/38 (20060101); G01M 3/28 (20060101); G01M 3/40 (20060101)Jordan; Guilherme Mendes Spitzman (Macae, BR)",PETROENGE PETROELO ENGENHARIA LTDA,"The present invention relates to a device for detecting leaks of liquids or gases caused by temperature variations, pressure variations, wear on the clamping and coupling devices, wear on sealing devices, by corrosive action, among others, in joints between pipes made by flanges (F) and together and basically comprises a strip (1) to be applied to the region of the ""gap"" (G) between flanges (F) with a pressure sensor (2) and protective caps (3) adapted to a screw head casing (PE) and nuts (P) employed for mounting between flanges (F).",50026998,BR,No other references field

Detection system of washing machines removable basket and method for detection of washing machines removable basket,"9,777,419",D06F 39/002 (20130101); D06F 37/16 (20130101); D06F 37/12 (20130101); D06F 29/00 (20130101); D06F 31/00 (20130101),"D06F 39/00 (20060101); D06F 37/16 (20060101); D06F 37/12 (20060101); D06F 29/00 (20060101); D06F 31/00 (20060101)Bergamo; Danilo Antonio (Batatais, BR)",Whirlpool S.A.,"The present invention relates to a system for detecting washing machines removable basket, which comprises at least one washing basket (1) attached to the washing machine, at least one washing basket (2) removable from the washing machine and at least one structural component (3) attached to the washing machine. The system itself consists of at least one sensor (4) and at least one component (5) able to cause excitation in the sensor (4), wherein the sensor (4) can be physically associated to the structural component (3) attached to the washing machine and the component (5) can be physically associated with the washing basket (2) removable from the washing machine. Alternatively, the sensor (4) can be physically associated to the washing basket (2) removable from the washing machine and the component (5) may be physically associated to the structural component (3) attached to the washing machine. The subject method provides for at least one driving step of the motive source (6) and at least one checking step of the output signal of the sensor (4), the detection of the removable washing basket (2) being performed by checking the change of the output signal of the sensor (4).",Whirlpool S.A.,BR,"International Search Report and the Written Opinion of the International Search Authority for International Application No. PCT/BR2014/000324 mailed on Oct. 30, 2014. cited by applicant."

Element comprising at least one sliding surface having a coating for use in an internal combustion engine or a compressor,"9,777,239",C23C 14/0641 (20130101); C23C 14/3485 (20130101); F02B 77/02 (20130101); C10M 103/06 (20130101); C23C 30/00 (20130101),"C23C 14/06 (20060101); C23C 30/00 (20060101); F02B 77/02 (20060101); C10M 103/06 (20060101); C23C 14/34 (20060101)Da Rocha Mordente; Paulo Jose (Jundiai, BR), Banfield; Robert R. (Sao Paulo, BR), Sarabanda; Jose V. (Sao Paulo, BR)",Da Rocha Mordente; Paulo Jose Banfield; Robert R. Sarabanda; Jose V.,"An element with at least one slide surface with a coating for use on an internal combustion engine may include a base of a metallic alloy and at least one inner surface provided with a hard ceramic coating generated by physical vapor deposition. The element may include a porosity with a rate lower than 2 percent by volume, a Vickers hardness ranging from 1500 to 3000HV, and a compressive inner tension lower than 500 MPa.",MAHLE Metal Leve S.A.,BR BR BR,No other references field

Producing calcium oxides,"9,776,883",C04B 2/10 (20130101); C01B 25/327 (20130101); C01F 11/06 (20130101); C01B 25/322 (20130101); C01B 25/32 (20130101); C01P 2004/64 (20130101); C01P 2006/80 (20130101); C01P 2002/72 (20130101); C01P 2006/12 (20130101); C01P 2004/54 (20130101); C01P 2004/03 (20130101); C01P 2006/14 (20130101); C01P 2004/60 (20130101); C01P 2004/62 (20130101),"C01F 11/06 (20060101)de Oliveira; Lupercio Tarcisio (Belo Horizonte, BR)",Clean World Technologies Ltd.,"The disclosure features methods that include obtaining a first plurality of particles that include calcium carbonate, where the particles have a distribution of sizes between 8 mm and 12 mm, and heating the first plurality of particles to a temperature of between 900.degree. C. and 1200.degree. C. for a time period of at least 1 hour to generate a second plurality of particles that include calcium oxide.",Clean World Technologies Ltd.,BS,No other references field

Producing calcium phosphate compositions,"9,776,870",C04B 2/10 (20130101); C01F 11/06 (20130101); C01B 25/322 (20130101); C01B 25/32 (20130101); C01B 25/327 (20130101); C01P 2006/12 (20130101); C01P 2004/60 (20130101); C01P 2006/14 (20130101); C01P 2006/80 (20130101); C01P 2004/62 (20130101); C01P 2004/54 (20130101); C01P 2004/64 (20130101); C01P 2002/72 (20130101); C01P 2004/03 (20130101),"C01B 25/32 (20060101)de Oliveira; Lupercio Tarcisio (Belo Horizonte, BR)",Clean World Technologies Ltd.,"The disclosure features methods that include obtaining a first calcium hydroxide solution that includes a first concentration of calcium ions and a second calcium hydroxide solution that includes a second concentration of calcium ions, adding a phosphoric acid solution to the first calcium hydroxide solution to generate a combined solution featuring an aqueous suspension of calcium dihydrogen phosphate particles, and adding the second calcium hydroxide solution to the combined solution to form a product solution that includes an aqueous suspension of particles of a calcium phosphate composition.",Clean World Technologies Ltd.,BS,No other references field

Producing calcium phosphate compositions,"9,776,869",C01B 25/327 (20130101); C04B 2/10 (20130101); C01B 25/32 (20130101); C01B 25/322 (20130101); C01F 11/06 (20130101); C01P 2004/64 (20130101); C01P 2002/72 (20130101); C01P 2006/14 (20130101); C01P 2006/80 (20130101); C01P 2004/54 (20130101); C01P 2004/62 (20130101); C01P 2004/03 (20130101); C01P 2006/12 (20130101); C01P 2004/60 (20130101),"C01B 25/32 (20060101)de Oliveira; Lupercio Tarcisio (Belo Horizonte, BR)",Clean World Technologies Ltd.,"The disclosure features compositions that include a material featuring three calcium phosphate phases that form one or more integral units of a solid, where a first one of the three phases includes one or more regions formed of hydroxyapatite, a second one of the three phases includes one or more regions formed of .beta.-tricalcium phosphate, a third one of the three phases includes one or more regions formed of amorphous calcium phosphate, and where at least some of the regions corresponding to the first, second, and third phases contact one another in the one or more integral units of the solid.",Clean World Technologies Ltd.,BS,No other references field

Textile product,"9,776,015",A61K 8/26 (20130101); D06P 1/673 (20130101); D06M 11/00 (20130101); A61Q 19/06 (20130101); A61N 5/0613 (20130101); A61K 8/027 (20130101); D06M 16/00 (20130101); D06M 11/76 (20130101); D06P 1/67383 (20130101); D06M 11/44 (20130101); D06M 11/79 (20130101); D06M 23/08 (20130101); A61N 2005/0659 (20130101); A61K 2800/242 (20130101); A61N 2005/0645 (20130101),"A61N 2/00 (20060101); A61N 5/06 (20060101)Hirata; Mario (Sao Paulo, BR)",Hirata; Mario,"Improvements applied to a textile product, and more particularly wherein the improved product is a woven textile product--fabric containing bioceramic microparticles embedded into the fibers thereof with high capacity of irradiation in the infrared region, provided to be used both in humans and animals, more particularly the invention is related to a textile product containing bioceramic microparticles with high capacity of infrared irradiation which, in contact with the heat of the human body, is capable of transmitting infrared radiation in the range between 3 .mu.m and 14.8 .mu.m, preferentially in the 14.8 micron range, said infrared radiation at this wavelength being capable of regulating the blood microcirculation, as the result of its high protection, the blood microcirculation being the nervous center of human and/or animal metabolism.",41162282,BR,No other references field

Modular gathering platform for grain harvesters,"9,775,294",A01D 57/12 (20130101); A01D 51/002 (20130101),"B65G 21/10 (20060101); A01D 51/00 (20060101); A01D 57/12 (20060101); A01B 73/00 (20060101); A01D 29/00 (20060101); A01D 57/20 (20060101)Bertino; Luiz Henrique (Pindorama, BR)",Ind strias Reunidas Colombo Ltda.,"A modular gathering platform for grain harvesters is provided for coupling to the front of a grain harvester or processor which can gather plants previously prepared in one or more rows by at least one central belt conveyor with functional side by side coupling to other equal harvesting conveyor belts. The platform includes a transversal mounting structure having an internal opening, at least one central harvesting conveyor belt having front and rear extremities and two side couplings, additional harvesting conveyor belts coupled to the sides of the central belt, an anti-jamming roll and a rotating guiding roll. The central harvesting conveyor belt and additional side harvesting conveyor belts, the anti-jamming rolls, and the guiding roll are synchronized by an actuation assembly, and the guiding roll moves the harvested plants towards the exit. The platform advantageously allows for the gathering of a crop that has been prepared in rows.",Ind strias Reunidas Colombo Ltda.,BR,No other references field

Particulate metering and mixing system for an agricultural sowing machine,"9,775,282",A01C 7/128 (20130101); A01C 1/00 (20130101); A01C 1/06 (20130101); A01C 17/00 (20130101); A01C 7/16 (20130101); A01C 7/06 (20130101); A01C 7/04 (20130101),"A01C 7/04 (20060101); A01C 7/12 (20060101); A01C 1/00 (20060101); A01C 7/06 (20060101); A01C 7/16 (20060101); A01C 17/00 (20060101)Do Amaral Assy; Jose Roberto (Caldas Novas, BR), Incao; Enrico (Sao Paulo, BR), De Lacerda; Silvio (Sao Paulo, BR)",Do Amaral Assy; Jose Roberto,"A metering and mixing system of solid particulates for a rotary seed dispenser in agricultural equipment for sowing, wherein the rotary seed dispenser is mounted under a seed feeder. The rotary seed dispenser is driven at the bottom by a planter drive system, which provides rotation to a spinning disc provided with a number of calibrated orifices through which the seeds housed in the disc orifices fall on a given point of the agricultural equipment. The metering and mixing system of solid particulates includes a solid particulate feeder that is positioned between the seed feeder and the rotary seed dispenser.",Jose Roberto do Amaral Assy,BR,No other references field
